"Favor","Oppose","Neither","Undecided","No Opinion","poll_slug","survey_house","start_date","end_date","question_text","sample_subpopulation","observations","margin_of_error","mode","partisanship","partisan_affiliation"
47,37,NA,17,NA,"ppp-d-28532","PPP (D)","2018-03-23","2018-03-25","Do you support or oppose the Affordable Care Act?","Likely Voters",846,3.4,"IVR/Online","Pollster","Dem"
50,43,NA,7,NA,"kaiser-ff-28537","Kaiser FF","2018-03-08","2018-03-13","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1212,3,"Live Phone","Nonpartisan","None"
54,42,NA,5,NA,"kaiser-ff-28483","Kaiser FF","2018-02-15","2018-02-20","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1185,3,"Live Phone","Nonpartisan","None"
47,35,NA,18,NA,"ppp-d-28472","PPP (D)","2018-02-09","2018-02-11","Do you support or oppose the Affordable Care Act?","Likely Voters",687,3.7,"IVR/Online","Pollster","Dem"
50,42,NA,8,NA,"kaiser-ff-28428","Kaiser FF","2018-01-16","2018-01-21","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1215,3,"Live Phone","Nonpartisan","None"
56,38,NA,6,NA,"pew-28327","Pew","2017-11-29","2017-12-04","Do you approve or disapprove of the health care law passed by Barack Obama and Congress in 2010?","Adults",2504,2.3,"Live Phone","Nonpartisan","None"
51,40,NA,10,NA,"politico-morning-consult-28292","Politico/Morning Consult","2017-11-21","2017-11-25","Do you approve or disapprove each of the following? The 2010 Affordable Care Act, sometimes referred to as Obamacare","Registered Voters",1994,2,"Internet","Nonpartisan","None"
50,46,NA,5,NA,"kaiser-ff-28263","Kaiser FF","2017-11-08","2017-11-13","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1215,3,"Live Phone","Nonpartisan","None"
43,39,NA,18,NA,"nbc-wsj-28218","NBC/WSJ","2017-10-23","2017-10-26","Now as you may know, Barack Obama’s health care plan was passed by Congress and signed into law in 2010… From what you have heard about the health care law, do you think it is (ROTATE) – a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",900,3.27,"Live Phone","Nonpartisan","None"
54,42,NA,3,NA,"fox-28201","FOX","2017-10-22","2017-10-24","I'm going to read you the names of several individuals, groups, and items. Please tell me whether you have a generally favorable or unfavorable opinion of each one. If you've never heard of one please just say so: The 2010 health care law, also known as Obamacare","Registered Voters",1005,3,"Live Phone","Nonpartisan","None"
48,41,NA,10,NA,"politico-morning-consult-28198","Politico/Morning Consult","2017-10-19","2017-10-23","Do you approve or disapprove of the 2010 Affordable Care Act, sometimes referred to as Obamacare?","Registered Voters",1988,2,"Internet","Nonpartisan","None"
49,41,NA,9,NA,"politico-morning-consult-28181","Politico/Morning Consult","2017-10-12","2017-10-16","Do you approve or disapprove of the 2010 Affordable Care Act, sometimes referred to as Obamacare?","Registered Voters",1991,2,"Internet","Nonpartisan","None"
51,40,NA,9,NA,"kaiser-ff-28169","Kaiser FF","2017-10-05","2017-10-10","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1215,3,"Live Phone","Nonpartisan","None"
48,42,NA,10,NA,"politico-morning-consult-28144","Politico/Morning Consult","2017-09-29","2017-10-01","Do you approve or disapprove of the health care law passed in 2010 by President Obama and Congress, known as the Affordable Care Act or Obamacare?","Registered Voters",1992,2,"Internet","Nonpartisan","None"
48,34,NA,18,NA,"ppp-d-28129","PPP (D)","2017-09-22","2017-09-25","Do you support or oppose the Affordable Care Act?","Likely Voters",865,3.3,"IVR/Online","Pollster","Dem"
46,42,NA,14,NA,"huffpost-yougov-28110","HuffPost/YouGov","2017-09-18","2017-09-19","Do you generally favor or oppose President Obama’s health care law?","Adults",998,NA,"Internet","Nonpartisan","None"
46,44,NA,10,NA,"kaiser-ff-28109","Kaiser FF","2017-09-13","2017-09-18","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1211,3,"Live Phone","Nonpartisan","None"
49,48,NA,3,NA,"fox-28049","FOX","2017-08-27","2017-08-29","I'm going to read you the names of several individuals and items. Please tell me whether  you have a generally favorable or unfavorable opinion of each one. If you've never heard  of one please just say so. (The 2010 health care law, also known as Obamacare)","Registered Voters",1006,3,"Live Phone","Nonpartisan","None"
45,36,NA,19,NA,"ppp-d-28026","PPP (D)","2017-08-18","2017-08-21","Do you support or oppose the Affordable Care Act?","Likely Voters",887,3.3,"IVR/Online","Pollster","Dem"
42,51,NA,7,NA,"cnn-27992","CNN","2017-08-03","2017-08-06","As you may know, a bill that makes major changes to the country's health care system became law in 2010. Based on what you have read or heard about that legislation, do you generally favor or generally oppose it?","Adults",1018,3.6,"Live Phone","Nonpartisan","None"
52,39,NA,9,NA,"kaiser-ff-27995","Kaiser FF","2017-08-01","2017-08-06","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1211,3,"Live Phone","Nonpartisan","None"
47,42,NA,11,NA,"yougov-economist-27970","YouGov/Economist","2017-07-31","2017-08-01","Do you approve or disapprove of the Affordable Care Act, also known as ""Obamacare""?","Adults",1500,3.2,"Internet","Nonpartisan","None"
45,42,NA,13,NA,"yougov-economist-27951","YouGov/Economist","2017-07-23","2017-07-25","Do you approve or disapprove of the Affordable Care Act, also known as ""Obamacare""?","Adults",1500,3.1,"Internet","Nonpartisan","None"
41,42,NA,17,NA,"huffpost-yougov-27944","HuffPost/YouGov","2017-07-19","2017-07-19","Do you generally favor or oppose President Obama’s health care law?","Adults",998,NA,"Internet","Nonpartisan","None"
49,41,NA,9,NA,"yougov-economist-27931","YouGov/Economist","2017-07-15","2017-07-18","Do you approve or disapprove of the Affordable Care Act, also known as ""Obamacare""?","Adults",1500,3,"Internet","Nonpartisan","None"
43,40,NA,16,NA,"ppp-d-27925","PPP (D)","2017-07-14","2017-07-17","Do you support or oppose the Affordable Care Act?","Likely Voters",836,3.4,"IVR/Online","Pollster","Dem"
51,33,16,NA,NA,"ap-norc-27930","AP-NORC","2017-07-13","2017-07-17","In general, do you support, oppose, or neither support nor oppose the Affordable Care Act, the health care reforms that were passed by Congress in March of 2010, also known as Obamacare?","Adults",1019,4.1,"Live Phone/Online","Nonpartisan","None"
42,41,NA,17,NA,"huffpost-yougov-27929","HuffPost/YouGov","2017-07-12","2017-07-14","Do you generally favor or oppose President Obama’s health care law?","Adults",998,NA,"Internet","Nonpartisan","None"
50,44,NA,6,NA,"kaiser-ff-27914","Kaiser FF","2017-07-05","2017-07-10","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1208,3,"Live Phone","Nonpartisan","None"
53,44,NA,NA,3,"gallup-27906","Gallup","2017-07-05","2017-07-09","Do you generally approve or disapprove of the 2010 Affordable Care Act, signed into law by President Obama that restructured the U.S. health care system?","Adults",828,4,"Live Phone","Nonpartisan","None"
47,42,NA,11,NA,"yougov-economist-27893","YouGov/Economist","2017-07-03","2017-07-04","Do you approve or disapprove of the Affordable Care Act, also known as ""Obamacare""?","Adults",1500,3.1,"Internet","Nonpartisan","None"
44,40,NA,16,NA,"huffpost-yougov-27882","HuffPost/YouGov","2017-06-27","2017-06-28","Do you generally favor or oppose President Obama’s health care law?","Adults",998,NA,"Internet","Nonpartisan","None"
52,46,NA,2,NA,"fox-27877","FOX","2017-06-25","2017-06-27","","Registered Voters",1017,3,"Live Phone","Nonpartisan","None"
48,42,NA,11,NA,"yougov-economist-27873","YouGov/Economist","2017-06-25","2017-06-27","Do you approve or disapprove of the Affordable Care Act, also known as ""Obamacare""?","Adults",1500,3.1,"Internet","Nonpartisan","None"
50,43,NA,7,NA,"politico-morning-consult-27874","Politico/Morning Consult","2017-06-22","2017-06-24","Do you approve or disapprove of 2010 Affordable Care Act, sometimes referred to as ”Obamacare”?","Registered Voters",1994,2,"Internet","Nonpartisan","None"
44,42,NA,14,NA,"yougov-economist-27851","YouGov/Economist","2017-06-18","2017-06-20","Do you approve or disapprove of the Affordable Care Act, also known as ""Obamacare""?","Adults",1500,3,"Internet","Nonpartisan","None"
41,38,NA,21,NA,"nbc-wsj-27857","NBC/WSJ","2017-06-17","2017-06-20","Now as you may know, Barack Obama’s health care plan was passed by Congress and signed into law in 2010. From what you have heard about the health care law, do you think it is a good idea or a bad idea? If you do not have an opinion either way, please just say so.","Adults",900,3.27,"Live Phone","Nonpartisan","None"
48,44,NA,8,NA,"politico-morning-consult-27853","Politico/Morning Consult","2017-06-15","2017-06-19","","Registered Voters",2051,2,"Internet","Nonpartisan","None"
51,41,NA,8,NA,"kaiser-ff-27861","Kaiser FF","2017-06-14","2017-06-19","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1208,3,"Live Phone","Nonpartisan","None"
40,45,NA,15,NA,"huffpost-yougov-27862","HuffPost/YouGov","2017-06-13","2017-06-13","Do you generally favor or oppose President Obama’s health care law?","Adults",998,NA,"Internet","Nonpartisan","None"
44,38,NA,18,NA,"ppp-d-27820","PPP (D)","2017-06-09","2017-06-11","Do you support or oppose the Affordable Care Act?","Likely Voters",811,3.4,"IVR/Online","Pollster","Dem"
46,42,NA,11,NA,"yougov-economist-27791","YouGov/Economist","2017-06-04","2017-06-06","","Adults",1500,3.2,"Internet","Nonpartisan","None"
52,42,NA,6,NA,"politico-morning-consult-27757","Politico/Morning Consult","2017-05-25","2017-05-30","","Registered Voters",1991,2,"Internet","Nonpartisan","None"
41,42,NA,16,NA,"huffpost-yougov-27738","HuffPost/YouGov","2017-05-22","2017-05-23","Do you generally favor or oppose President Obama’s health care law?","Adults",1000,NA,"Internet","Nonpartisan","None"
49,42,NA,9,NA,"kaiser-ff-27762","Kaiser FF","2017-05-16","2017-05-22","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1025,3,"Live Phone","Nonpartisan","None"
48,44,NA,7,NA,"politico-morning-consult-27686","Politico/Morning Consult","2017-05-12","2017-05-14","","Registered Voters",2001,2,"Internet","Nonpartisan","None"
44,37,NA,19,NA,"ppp-d-27680","PPP (D)","2017-05-12","2017-05-14","Do you support or oppose the Affordable Care Act?","Likely Voters",692,3.7,"IVR/Online","Pollster","Dem"
45,44,NA,11,NA,"huffpost-yougov-27642","HuffPost/YouGov","2017-05-06","2017-05-06","Do you generally favor or oppose President Obama’s health care law?","Adults",1000,NA,"Internet","Nonpartisan","None"
50,42,NA,8,NA,"politico-morning-consult-27647","Politico/Morning Consult","2017-05-04","2017-05-06","","Registered Voters",1996,2,"Internet","Nonpartisan","None"
47,48,NA,5,NA,"cnn-27582","CNN","2017-04-22","2017-04-25","As you may know, a bill that makes major changes to the country's health care system became law in 2010. Based on what you have read or heard about that legislation, do you generally favor or generally oppose it?","Adults",1009,3,"Live Phone","Nonpartisan","None"
48,41,NA,12,NA,"kaiser-ff-27553","Kaiser FF","2017-04-17","2017-04-23","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1171,3,"Live Phone","Nonpartisan","None"
47,31,NA,22,NA,"ppp-d-27515","PPP (D)","2017-04-17","2017-04-18","Do you support or oppose the Affordable Care Act?","Likely Voters",648,3.9,"IVR/Online","Pollster","Dem"
51,41,NA,8,NA,"politico-morning-consult-27459","Politico/Morning Consult","2017-04-06","2017-04-09","","Registered Voters",1988,2,"Internet","Nonpartisan","None"
46,46,NA,9,NA,"kaiser-ff-27415","Kaiser FF","2017-03-28","2017-04-03","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1203,3,"Live Phone","Nonpartisan","None"
55,41,NA,4,NA,"gallup-27412","Gallup","2017-04-01","2017-04-02","Do you generally approve or disapprove of the 2010 Affordable Care Act, signed into law by President Obama that restructured the U.S. health care system?","Adults",1023,4,"Live Phone","Nonpartisan","None"
60,39,NA,1,NA,"icitizen-27388","ICITIZEN","2017-03-27","2017-03-29","As you may know, the health reform law known as the Affordable Care Act was signed into law in 2010. Given what you know about the Affordable Care Act, sometimes referred to as Obamacare, do you approve or disapprove of the current law?","Adults",1062,3.01,"Internet","Nonpartisan","None"
52,37,NA,12,NA,"ppp-d-27387","PPP (D)","2017-03-27","2017-03-28","Do you support or oppose the Affordable Care Act?","Likely Voters",677,3.8,"IVR/Online","Pollster","Dem"
53,43,NA,4,NA,"nbc-surveymonkey-27385","NBC/SurveyMonkey","2017-03-24","2017-03-28","Given what you know about the Affordable Care Act that passed in 2010, do you have a favorable or unfavorable view of it?","Adults",7832,1.7,"Internet","Nonpartisan","None"
45,38,17,0,0,"ap-norc-27380","AP-NORC","2017-03-23","2017-03-27","In general, do you support, oppose, or neither support nor oppose the Affordable Care Act, the health care reforms that were passed by Congress in March of 2010, also known as Obamacare?","Adults",1110,4,"Live Phone/Online","Nonpartisan","None"
44,45,NA,11,NA,"politico-harvard-27596","Politico/Harvard","2017-03-22","2017-03-26","Do you favor or oppose repealing the Affordable Care Act, or Obamacare?","Adults",1019,3.7,"Live Phone","Nonpartisan","None"
42,44,NA,16,NA,"huffpost-yougov-27414","HuffPost/YouGov","2017-03-25","2017-03-25","","Adults",1000,3.9,"Internet","Nonpartisan","None"
50,43,NA,7,NA,"politico-morning-consult-27372","Politico/Morning Consult","2017-03-24","2017-03-25","","Registered Voters",1991,2,"Internet","Nonpartisan","None"
46,45,NA,9,NA,"politico-morning-consult-27330","Politico/Morning Consult","2017-03-16","2017-03-19","","Registered Voters",1927,2,"Internet","Nonpartisan","None"
44,43,NA,14,NA,"huffpost-yougov-27413","HuffPost/YouGov","2017-03-16","2017-03-17","","Adults",998,NA,"Internet","Nonpartisan","None"
50,47,NA,3,NA,"fox-27302","FOX","2017-03-12","2017-03-14","","Registered Voters",1008,3,"Live Phone","Nonpartisan","None"
46,48,NA,6,NA,"politico-morning-consult-27292","Politico/Morning Consult","2017-03-09","2017-03-13","","Registered Voters",1983,2,"Internet","Nonpartisan","None"
47,39,NA,14,NA,"ppp-d-27294","PPP (D)","2017-03-10","2017-03-12","Do you support or oppose the Affordable Care Act?","Likely Voters",808,3.4,"IVR/Online","Pollster","Dem"
49,44,NA,6,NA,"kaiser-ff-27298","Kaiser FF","2017-03-06","2017-03-12","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1206,3,"Live Phone","Nonpartisan","None"
48,51,NA,1,NA,"pew-27394","Pew","2017-02-28","2017-03-12","Do you approve or disapprove of the health care law passed by Barack Obama and Congress in 2010?","Adults",3844,2.7,"Live Phone/Online","Nonpartisan","None"
47,41,NA,12,NA,"huffpost-yougov-27232","HuffPost/YouGov","2017-03-08","2017-03-09","","Adults",996,NA,"Internet","Nonpartisan","None"
46,49,NA,NA,5,"cnn-27187","CNN","2017-03-01","2017-03-04","As you may know, a bill that makes major changes to the country's health care system became law in 2010. Based on what you have read or heard about that legislation, do you generally favor or generally oppose it?","Adults",1025,3,"Live Phone","Nonpartisan","None"
50,38,NA,12,NA,"ppp-d-27155","PPP (D)","2017-02-21","2017-02-22","Do you support or oppose the Affordable Care Act?","Likely Voters",941,3.2,"IVR/Online","Pollster","Dem"
43,41,NA,1,15,"nbc-wsj-27159","NBC/WSJ","2017-02-18","2017-02-22","","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
46,45,NA,9,NA,"politico-morning-consult-27138","Politico/Morning Consult","2017-02-16","2017-02-19","","Registered Voters",2013,2,"Internet","Nonpartisan","None"
48,42,NA,10,NA,"kaiser-ff-27152","Kaiser FF","2017-02-13","2017-02-19","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1160,3,"Live Phone","Nonpartisan","None"
52,45,NA,3,NA,"nbc-surveymonkey-27139","NBC/SurveyMonkey","2017-02-13","2017-02-19","Given what you know about the Affordable Care Act that passed in 2010, do you have a favorable or unfavorable view of it?","Adults",11512,1.4,"Internet","Nonpartisan","None"
54,43,NA,3,NA,"pew-27151","Pew","2017-02-07","2017-02-12","Do you approve or disapprove of the health care law passed by Barack Obama and Congress in 2010?","Adults",1503,2.9,"Live Phone","Nonpartisan","None"
47,39,NA,14,NA,"ppp-d-27102","PPP (D)","2017-02-07","2017-02-08","Do you support or oppose the Affordable Care Act?","Likely Voters",712,3.7,"IVR/Online","Pollster","Dem"
46,41,NA,13,NA,"ppp-d-27075","PPP (D)","2017-01-30","2017-01-31","Do you support or oppose the Affordable Care Act?","Likely Voters",725,3.6,"IVR/Online","Pollster","Dem"
45,41,NA,14,NA,"ppp-d-27052","PPP (D)","2017-01-23","2017-01-24","Do you support or oppose the Affordable Care Act?","Likely Voters",1043,3,"IVR/Online","Pollster","Dem"
47,45,NA,8,NA,"morning-consult-27061","Morning Consult","2017-01-20","2017-01-22","Do you approve or disapprove of 2010 Affordable Care Act, sometimes referred to as Obamacare?","Registered Voters",1992,2,"Internet","Nonpartisan","None"
50,46,NA,0,4,"fox-27035","FOX","2017-01-15","2017-01-18","","Registered Voters",1006,3,"Live Phone","Nonpartisan","None"
50,35,15,0,0,"ap-norc-27056","AP-NORC","2017-01-12","2017-01-16","In general, do you support, oppose, or neither support nor oppose the Affordable Care Act, the health care reforms that were passed by Congress in March of 2010, also known as Obamacare?","Adults",1036,3.7,"Live Phone/Online","Nonpartisan","None"
49,47,NA,NA,4,"cnn-27039","CNN","2017-01-12","2017-01-15","","Adults",1000,3,"Live Phone","Nonpartisan","None"
45,41,NA,1,13,"nbc-wsj-27023","NBC/WSJ","2017-01-12","2017-01-15","","Adults",1000,3.1,"Live Phone","Nonpartisan","None"
41,52,NA,7,NA,"politico-morning-consult-26992","Politico/Morning Consult","2017-01-05","2017-01-07","","Registered Voters",1988,2,"Internet","Nonpartisan","None"
43,46,NA,11,NA,"kaiser-ff-26979","Kaiser FF","2016-12-13","2016-12-19","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1204,3,"Live Phone","Nonpartisan","None"
48,47,NA,5,NA,"pew-26903","Pew","2016-11-30","2016-12-05","Do you approve or disapprove of the health care law passed by Barack Obama and Congress in 2010?","Adults",1502,2.9,"Live Phone","Nonpartisan","None"
43,45,NA,11,NA,"kaiser-ff-26882","Kaiser FF","2016-11-15","2016-11-21","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1202,3,"Live Phone","Nonpartisan","None"
46,51,NA,4,NA,"pew-26507","Pew","2016-10-20","2016-10-25","","Adults",2583,NA,"Live Phone","Nonpartisan","None"
45,45,NA,10,NA,"kaiser-ff-26506","Kaiser FF","2016-10-12","2016-10-18","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1205,3,"Live Phone","Nonpartisan","None"
44,47,NA,9,NA,"kaiser-ff-26219","Kaiser FF","2016-09-14","2016-09-20","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1204,3,"Live Phone","Nonpartisan","None"
44,51,NA,NA,5,"gallup-25425","Gallup","2016-08-30","2016-08-31","Do you generally approve or disapprove of the 2010 Affordable Care Act, signed into law by President Obama that restructured the U.S. health care system?","Adults",1015,4,"Live Phone","Nonpartisan","None"
40,42,NA,17,NA,"kaiser-ff-25309","Kaiser FF","2016-08-18","2016-08-24","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally favorable or generally unfavorable opinion of it?","Adults",1211,3,"Live Phone","Nonpartisan","None"
40,46,NA,14,NA,"kaiser-ff-24896","Kaiser FF","2016-07-05","2016-07-11","As you may know, a health reform bill was signed into law in 2010. Given what you know about the health reform law, do you have a generally (favorable) or generally (unfavorable) opinion of it?","Adults",1212,3.3,"Live Phone","Nonpartisan","None"
42,44,NA,14,NA,"kaiser-ff-24828","Kaiser FF","2016-06-15","2016-06-21","","Adults",1201,3,"Live Phone","Nonpartisan","None"
44,52,NA,4,NA,"mclaughlin-r-24510","McLaughlin (R)","2016-05-11","2016-05-16","","Likely Voters",1000,3.1,"Internet","Pollster","Rep"
42,42,NA,16,NA,"ppp-d-24480","PPP (D)","2016-05-06","2016-05-09","Do you support or oppose President Obama’s health care plan, or do you not have an opinion?","Likely Voters",1222,3.2,"IVR/Online","Pollster","Dem"
38,49,NA,13,NA,"kaiser-ff-24827","Kaiser FF","2016-04-12","2016-04-19","","Adults",1201,3,"Live Phone","Nonpartisan","None"
44,54,NA,NA,NA,"pew-24387","Pew","2016-04-12","2016-04-19","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",2008,2.5,"Live Phone","Nonpartisan","None"
41,47,NA,13,NA,"kaiser-ff-24826","Kaiser FF","2016-03-07","2016-03-14","","Adults",1201,3,"Live Phone","Nonpartisan","None"
41,46,NA,14,NA,"kaiser-ff-23961","Kaiser FF","2016-02-10","2016-02-18","","Adults",1022,3,"Live Phone","Nonpartisan","None"
26,42,NA,1,31,"ap-gfk-web-23891","AP-GfK (web)","2016-02-11","2016-02-15","","Adults",1033,3.4,"Internet","Nonpartisan","None"
41,44,NA,16,NA,"kaiser-ff-23619","Kaiser FF","2016-01-13","2016-01-19","","Adults",1610,3,"Live Phone","Nonpartisan","None"
41,52,NA,8,NA,"cbs-times-23489","CBS/Times","2016-01-07","2016-01-10","","Adults",1276,NA,"Live Phone","Nonpartisan","None"
41,39,NA,19,NA,"ppp-d-23396","PPP (D)","2015-12-16","2015-12-17","Do you support or oppose President Obama’s health care plan, or do you not have an opinion? If you support it, press 1. If you oppose it, press 2. If you don’t have an opinion, press 3.","Likely Voters",1267,2.8,"IVR/Online","Pollster","Dem"
40,52,NA,8,NA,"cbs-times-23308","CBS/Times","2015-12-04","2015-12-08","","Adults",1275,NA,"Live Phone","Nonpartisan","None"
38,45,NA,17,NA,"kaiser-ff-23227","Kaiser FF","2015-11-10","2015-11-17","","Adults",1352,3,"Live Phone","Nonpartisan","None"
44,52,NA,NA,4,"gallup-23137","Gallup","2015-11-04","2015-11-08","Thanking about health care legislation now being considered by Congress, would you advise your member of Congress to vote for or against a healthcare bill this year, or do you not have an opinion?","Adults",1021,4,"Live Phone","Nonpartisan","None"
42,42,NA,16,NA,"kaiser-ff-23012","Kaiser FF","2015-10-14","2015-10-20","","Adults",1203,3,"Live Phone","Nonpartisan","None"
42,40,NA,17,NA,"ppp-d-22867","PPP (D)","2015-10-01","2015-10-04","Do you support or oppose President Obama’s health care plan, or do you not have an opinion? If you support it, press 1. If you oppose it, press 2. If you don’t have an opinion, press 3.","Likely Voters",1338,2.7,"IVR/Online","Pollster","Dem"
41,45,NA,14,NA,"kaiser-ff-22819","Kaiser FF","2015-09-17","2015-09-23","","Adults",1202,3,"Live Phone","Nonpartisan","None"
41,54,NA,4,NA,"fox-22563","FOX","2015-08-11","2015-08-13","Based on what you know about the health care reform legislation beingconsidered right now, do you favor or oppose the plan?","Registered Voters",1008,3,"Live Phone","Nonpartisan","None"
44,41,NA,14,NA,"kaiser-ff-22580","Kaiser FF","2015-08-06","2015-08-11","","Adults",1200,3,"Live Phone","Nonpartisan","None"
43,52,NA,NA,5,"quinnipiac-22469","Quinnipiac","2015-07-23","2015-07-28","Do you support or oppose President Obama's health care reform plan?","Registered Voters",1644,2.4,"Live Phone","Nonpartisan","None"
48,49,NA,3,NA,"pew-23115","Pew","2015-07-14","2015-07-20","As of right now, do you generally favor or generally oppose the health care proposals being discussed in Congress?","Adults",2002,2.5,"Live Phone","Nonpartisan","None"
45,44,NA,10,NA,"suffolk-usa-today-22380","Suffolk/USA Today","2015-07-09","2015-07-12","","Likely Voters",1000,3,"Live Phone","Nonpartisan","None"
47,48,NA,NA,5,"gallup-22365","Gallup","2015-07-01","2015-07-05","Do you generally approve or disapprove of the 2010 Affordable Care Act, signed into law by President Obama that restructured the U.S. health care system?","Adults",2040,3,"Live Phone","Nonpartisan","None"
43,40,NA,17,NA,"kaiser-ff-22334","Kaiser FF","2015-06-25","2015-06-29","","Adults",1202,3,"Live Phone","Nonpartisan","None"
46,50,NA,5,NA,"mclaughlin-r-22914","McLaughlin (R)","2015-06-18","2015-06-22","","Likely Voters",1008,NA,"Internet","Pollster","Rep"
